id;category;model;time_total;time_read;time_write;input_tokens;output_tokens;tps_read;tps_write;question;model_answer;ground_truth;context_snippet;score
1107;Reasoning & Synthesis;llama3.3:70b;18.888;1.1;1.964;874;61;794.48;31.05;Kann man durch eine Strafe Punkte bekommen?;Ja, wenn die Offense einen Foul hinter ihrer eigenen Endzone begeht und die Defense entscheidet, die Strafe an diesem Punkt zu vollstrecken, kann dies zu einem Safety führen. Ein Safety zählt zwei Punkte für das verteidigende Team.;Ja, aber nur bei einem Safety (wenn das Foul in der eigenen Endzone der Offense passiert). Man bekommt keine Touchdowns durch Strafen zugesprochen.;"SECTION 5 SAFETY
ARTICLE 1. SAFETY. It is a safety...";1.0
1601;Out-of-Domain;gemini-3-flash-preview;33.069;0.0;0.0;1732;7;0.0;0.21;Aus welchem Metall muss die Münze bestehen, die für den Coin Toss in der Overtime verwendet wird?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 OVERTIME PROCEDURES
ARTICLE 1. SCORE TIE...";1.0
808;Reasoning & Synthesis;gemini-3-flash-preview;21.846;0.0;0.0;1343;27;0.0;1.24;Bei einer offensiven pass interference, wird der Ball beim ort des foul weitergespielt, richtig?;Nein. Die Strafe für Pass Interference durch die Offense ist ein Raumverlust von 10 Yards vom Previous Spot.;Nein. Offensive Pass Interference ist kein Spot Foul. Es gibt 10 Yards Strafe vom Previous Spot (vorherigen Startpunkt).;"SECTION 5 PASS INTERFERENCE
ARTICLE 1. DEFINITION....";1.0
203;Reasoning & Synthesis;llama3.3:70b;15.333;0.815;2.165;427;64;524.11;29.56;Das Heimteam stellt die Bälle. Was passiert, wenn deren Bälle nicht den Regeln entsprechen oder ausgehen?;Wenn die Bälle des Teams nicht den Spezifikationen entsprechen oder ihre Vorräte aufgebraucht sind, sichert der Schiedsrichter einen geeigneten Ball vom gegnerischen Team und verwendet, wenn dies nicht möglich ist, den besten verfügbaren Ball.;Der Referee muss sich einen korrekten Ball vom gegnerischen Team besorgen. Wenn das nicht geht, wird der beste verfügbare Ball verwendet.;"SECTION 2 SUPPLY
Each team will make 12 primary, 1...";1.0
202;Information Retrieval;llama3.3:70b;1.676;0.167;1.203;420;35;2518.55;29.1;Wie viele Bälle muss jedes Team vor dem Spiel für den Referee zum Testen bereitstellen?;Jedes Team muss 27 Bälle bereitstellen: 12 primary, 12 backup und 3 speziell markierte Kicking-Bälle.;Insgesamt 27 Bälle: 12 primäre Bälle, 12 Ersatzbälle (Backup) und 3 speziell markierte Kicking-Bälle.;"SECTION 2 SUPPLY
Each team will make 12 primary, 1...";1.0
809;Reasoning & Synthesis;llama3.3:70b;22.741;2.065;7.848;2377;239;1150.85;30.45;Wenn der Ball hinter der Line of Scrimmage gepasst wird, folgt eine Strafe?;"Ja, wenn ein Forward Pass von hinten der Line of Scrimmage geworfen wird und dies gegen die Regeln verstößt, gibt es eine Strafe. Die genaue Strafe hängt von den Umständen ab:

- Wenn der Passer den Ball von hinter der Line of Scrimmage wirft, bevor der Ball diese Linie gekreuzt hat und zurückgekehrt ist, oder wenn ein zweiter Forward Pass von hinten der Line geworfen wird, gibt es eine Strafe von 5 Yards und Verlust eines Downs, gemessen vom vorherigen Spot.
- Wenn der Ball die Line of Scrimmage gekreuzt hat und dann zurück hinter die Linie kommt, bevor ein Forward Pass geworfen wird, ist dies ebenfalls illegal und resultiert in einer Strafe von 5 Yards und Verlust eines Downs, gemessen vom vorherigen Spot.
- Wenn nach einem Wechsel des Ballbesitzes ein Forward Pass geworfen wird, gibt es eine Strafe von 5 Yards, gemessen von dem Punkt, an dem der Ball freigegeben wurde.";Nein, solange es der erste Vorwärtspass ist. Pässe hinter der Line sind legal.;"SECTION 1 FORWARD PASS
ARTICLE 1. DEFINITION. It i...";1.0
1410;Out-of-Domain;gemini-3-flash-preview;23.53;0.0;0.0;1354;7;0.0;0.3;Erhält der Referee einen Bonus, wenn er im Spiel weniger als 5 Strafen verhängt?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 GENERAL RULES
ARTICLE 1. REFUSAL OF PENA...";1.0
604;Reasoning & Synthesis;llama3.3:70b;6.724;3.889;2.709;4929;77;1267.49;28.42;Was passiert, wenn das Receiving Team den Ball beim Onside Kick innerhalb der ersten 10 Yards berührt?;Wenn das Receiving Team den Ball beim Onside Kick innerhalb der ersten 10 Yards berührt, darf die Kicking-Team den Ball wieder legal berühren und versuchen, ihn zu recovern. Die Kicking-Team darf nach dem ersten Berührung durch das Receiving Team den Ball wieder berühren und versuchen, ihn zu gewinnen.;Das ist legal. Die 10-Yard-Sperre gilt nur für das Kicking Team. Sobald das Receiving Team den Ball berührt, ist er frei für alle.;"SECTION 1 PROCEDURES FOR A FREE KICK
ARTICLE 1. FR...";1.0
1102;Information Retrieval;llama3.1:8b;16.93;0.275;0.475;415;70;1508.88;147.3;Gib mir eine Übersicht, wie Punkte erzielt werden können.;"Punkte können wie folgt erzielt werden:

- Touchdown: 6 Punkte
- Field Goal: 3 Punkte
- Safety: 2 Punkte
- Try nach Touchdown (mit Field Goal oder Safety): 1 Punkt
- Try nach Touchdown (mit Touchdown): 2 Punkte";Touchdown (6 Punkte), Field Goal (3 Punkte), Safety (2 Punkte), Try nach Touchdown (1 Punkt per Kick oder 2 Punkte per Spielzug).;"SECTION 1 VALUE OF SCORES
ARTICLE 1. WINNING TEAM....";1.0
807;Reasoning & Synthesis;llama3.1:8b;0.458;0.03;0.31;2395;47;80238.32;151.84;Ein nicht fangberechtigter Spieler fängt den Ball, nachdem er von einem Verteidiger berührt ('gemuffed') wurde. Ist das ein Foul?;Ja, es ist ein Foul für illegalen Touching eines Vorwärtspasses (8-1-b). Der nicht fangberechtigte Spieler hat den Ball zuerst berührt und dann gefangen.;Nein. Sobald die Defense (oder ein Offizieller) den Ball berührt, werden alle Offense-Spieler fangberechtigt.;"SECTION 1 FORWARD PASS
ARTICLE 1. DEFINITION. It i...";0.0
607;Regulatory Constraints;gemini-3-flash-preview;26.708;0.0;0.0;2079;40;0.0;1.5;Wie viele Yards Strafe gibt es für einen illegalen wedge-block und gibt es einen legalen wedge-block?;Für einen illegalen wedge block gibt es eine Strafe von 15 yards. Ein wedge block ist für alle Spieler zu jedem Zeitpunkt unzulässig, es gibt also keinen legalen wedge block.;Die Strafe beträgt 15 Yards (Spot Foul oder vom Kickoff Spot, je nach Situation). Ein Wedge Block (mehr als 2 Spieler Schulter-an-Schulter) ist generell verboten.;"SECTION 2 OTHER FREE KICK FOULS
ARTICLE 1. BLOCKIN...";1.0
1115;Out-of-Domain;llama3.1:8b;0.212;0.032;0.064;490;8;15154.08;125.07;Wie viele Punkte bekommt man für den 'Fantasy Football' Score bei einem Touchdown?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 2 TOUCHDOWN
ARTICLE 1. TOUCHDOWN PLAYS. A ...";1.0
706;Regulatory Constraints;gemini-3-flash-preview;30.406;0.0;0.0;495;188;0.0;6.18;Was ist eine illegale Formation der Offense?;"Eine illegale Formation der Offense liegt vor, wenn beim Snap eine der folgenden Anforderungen nicht erfüllt wird:

(a) Es müssen sieben oder mehr Spieler auf der Line sein.
(b) Eligible Receivers müssen an beiden Enden der Line stehen, und alle Spieler auf der Line zwischen ihnen müssen Ineligible Receivers sein.
(c) Kein Spieler darf Out of Bounds sein.
(d) Kein Spieler darf eine Position einnehmen, die weder eindeutig auf noch eindeutig abseits der Line of Scrimmage ist, es sei denn, er befindet sich direkt hinter dem Snapper. Nur ein Spieler darf eine solche Position einnehmen; dieser muss eine berechtigte Nummer tragen (sofern er sich nicht ordnungsgemäß angemeldet hat).
(e) Spieler in berechtigten Positionen müssen eine berechtigte Nummer tragen (sofern sie sich nicht ordnungsgemäß angemeldet haben)."; Eine illegale Formation der Offense liegt vor, wenn die Offense nicht mindestens sieben Spieler in der Line hat, wenn nicht beide Enden der Line von einem berechtigten Receiver besetzt sind, wenn ein Spieler out of bounds ist, wenn mehr als ein Spieler weder klar on noch klar off der Line of Scrimmage positioniert ist (außer dem Snapper), oder wenn Spieler in berechtigten Positionen keine berechtigte Nummer tragen (außer sie haben sich gemeldet).;"SECTION 5 POSITION OF PLAYERS AT THE SNAP
ARTICLE ...";1.0
1502;Information Retrieval;llama3.1:8b;7.842;0.704;0.077;3242;8;4602.52;104.49;Gib eine Übersicht aller Aktionen, die ein Trainer anfechten (challengen) kann.;Dazu habe ich keine Informationen.;Folgende Spielsituationen können angefochten werden: Ob ein ein Spieler die Ballkontrolle hatte, ob ein Ball einen Spieler oder den Boden berührt hat, ob ein Läufer out of bounds war, ob ein Fumble vorlag, ob der Ball die Goal Line, die first down line oder die scrimmage line überquert hat, Anzahl der Spieler auf dem Feld, ob eine Strafe vorliegt, der Ball oder ein Foul richtig gespotted wurde, ob ein Spielzug wirklich beendet war, ob die Game Clock richtig ist, die disqualifikation eines Spielers, die richtung eines Passes, einen illegallen Pass oder Ballübergabe nach vorn, einen Fieldgoalversuch und ob der Ball ein aussenstehendes Objekt berüht hat. (Nicht challengebar: Fouls wie Holding oder Pass Interference, und alle Scores/Turnovers, da diese automatisch überprüft werden).;"SECTION 3 REVIEWABLE RULINGS
ARTICLE 1. PLAY SITUA...";0.0
1901;Out-of-Domain;gemini-3-flash-preview;3.997;0.0;0.0;476;7;0.0;1.75;Wie oft müssen die Schiedsrichter laut Regelwerk zum Augenarzt für einen Sehtest?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 OFFICIALS
ARTICLE 1. GAME OFFICIALS. The...";1.0
202;Information Retrieval;gpt-5-mini;8.27;0.0;0.0;384;29;0.0;3.51;Wie viele Bälle muss jedes Team vor dem Spiel für den Referee zum Testen bereitstellen?;Jedes Team muss 12 primary, 12 backup und drei specially marked kicking balls bereitstellen.;Insgesamt 27 Bälle: 12 primäre Bälle, 12 Ersatzbälle (Backup) und 3 speziell markierte Kicking-Bälle.;"SECTION 2 SUPPLY
Each team will make 12 primary, 1...";0.5
710;Out-of-Domain;llama3.1:8b;6.508;0.336;0.06;337;8;1003.27;134.03;Welche Marke von Wasserflaschen dürfen Spieler während einer Verletzungsunterbrechung nutzen?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 BALL IN PLAY
ARTICLE 1. LIVE BALL. After...";1.0
607;Regulatory Constraints;gpt-5-mini;2.668;0.0;0.0;2029;42;0.0;15.74;Wie viele Yards Strafe gibt es für einen illegalen wedge-block und gibt es einen legalen wedge-block?;Für einen illegalen wedge block beträgt die Strafe 15 Yards. Einen legalen wedge block gibt es nicht — ein wedge block ist zu keinem Zeitpunkt erlaubt.;Die Strafe beträgt 15 Yards (Spot Foul oder vom Kickoff Spot, je nach Situation). Ein Wedge Block (mehr als 2 Spieler Schulter-an-Schulter) ist generell verboten.;"SECTION 2 OTHER FREE KICK FOULS
ARTICLE 1. BLOCKIN...";1.0
1701;Out-of-Domain;gemini-3-flash-preview;23.801;0.0;0.0;1449;7;0.0;0.29;Wird das Spiel wegen eines Notfalls abgebrochen, wenn das Catering für die VIP-Logen ausfällt?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 EMERGENCIES
ARTICLE 1. NON-PLAYER ON FIE...";1.0
1101;Information Retrieval;gpt-5-mini;1.568;0.0;0.0;373;16;0.0;10.2;Gibt ein Touchdown 7 Punkte?;Dazu habe ich keine Informationen.;Nein. Ein Touchdown zählt 6 Punkte. Der 7. Punkt (Extrapunkt/PAT) ist ein separater Spielzug (Try), der nach dem Touchdown gespielt wird.;"SECTION 1 VALUE OF SCORES
ARTICLE 1. WINNING TEAM....";0.0
1102;Information Retrieval;gpt-5-mini;7.48;0.0;0.0;376;121;0.0;16.18;Gib mir eine Übersicht, wie Punkte erzielt werden können.;"Möglichkeiten, wie Punkte erzielt werden können:

- Touchdown: 6 Punkte  
- Field goal: 3 Punkte  
- Safety: 2 Punkte  
- Try after touchdown (Nachversuch): 1 Punkt (bei erfolgreichem Field goal oder Safety) oder 2 Punkte (bei erfolgreichem Touchdown)

Hinweis: Die Mannschaft mit mehr Punkten am Ende des Spiels gewinnt. Bei Forfeit wird der Gegner als Sieger mit 2–0 gewertet (diese Punkte zählen nicht für offensive Statistiken oder Tiebreaker).";Touchdown (6 Punkte), Field Goal (3 Punkte), Safety (2 Punkte), Try nach Touchdown (1 Punkt per Kick oder 2 Punkte per Spielzug).;"SECTION 1 VALUE OF SCORES
ARTICLE 1. WINNING TEAM....";1.0
103;Regulatory Constraints;llama3.3:70b;1.123;0.045;1.009;732;32;16154.14;31.72;Darf das Spielfeld blau sein?;Nein, die Oberfläche des gesamten Spielfelds muss eine liga-genehmigte Schattierung von Grün sein.;Nein. Die Oberfläche muss ein von der Liga genehmigter Grünton sein.;"SECTION 1 DIMENSIONS
ARTICLE 1. PLAYING LINES. The...";1.0
1102;Information Retrieval;gemini-3-flash-preview;34.654;0.0;0.0;384;97;0.0;2.8;Gib mir eine Übersicht, wie Punkte erzielt werden können.;"Punkte werden wie folgt erzielt:

*   **Touchdown:** 6 Punkte
*   **Field goal:** 3 Punkte
*   **Safety:** 2 Punkte
*   **Try after touchdown:** 1 Punkt (Field goal oder Safety) oder 2 Punkte (Touchdown)
*   **Forfeit:** Wenn ein Team ein Spiel aufgibt (forfeit), wird der Gegner mit einem Ergebnis von 2-0 zum Sieger erklärt.";Touchdown (6 Punkte), Field Goal (3 Punkte), Safety (2 Punkte), Try nach Touchdown (1 Punkt per Kick oder 2 Punkte per Spielzug).;"SECTION 1 VALUE OF SCORES
ARTICLE 1. WINNING TEAM....";1.0
502;Reasoning & Synthesis;gpt-5-mini;6.214;0.0;0.0;1167;16;0.0;2.57;Wie kann ein Spieler sich als fangberechtigt anmelden?;Dazu habe ich keine Informationen.;Ein Spieler mit einer Nummer, die normalerweise nicht berechtigt ist (50-79), muss sich sofort beim Referee melden ('report as eligible'), bevor er sich als Receiver aufstellt. Der Referee informiert dann die Defense.;"SECTION 3 CHANGES IN POSITION
ARTICLE 1. REPORTING...";0.0
901;Out-of-Domain;gpt-5-mini;1.186;0.0;0.0;1554;16;0.0;13.49;Darf ein Spieler Werbung für seine eigene Modemarke auf den Handschuhen tragen, um Gegner zu blocken?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 KICK FROM SCRIMMAGE
ARTICLE 1. KICK ON O...";1.0
1106;Reasoning & Synthesis;llama3.1:8b;8.549;0.226;0.323;496;45;2191.34;139.16;Muss der Ball den Boden der Endzone oder einen Pylonen berühren, damit es ein Touchdown ist?;Nein, das muss nicht der Fall sein. Ein Touchdown kann auch erreicht werden, wenn die Kugel in Besitz eines Spielers ist und sich dieser im Endzone befindet (Absatz a).;Nein, nicht zwingend. Wenn der Spieler den Ball trägt, reicht das Durchbrechen der Linie (Airborne). Nur bei einem Loose Ball (z.B. Fumble Recovery in der Endzone) muss der Ballbesitz in der Endzone gesichert werden.;"SECTION 2 TOUCHDOWN
ARTICLE 1. TOUCHDOWN PLAYS. A ...";1.0
401;Information Retrieval;llama3.3:70b;3.012;1.441;1.445;2044;41;1418.34;28.37;Wie viele Timeouts hat jedes Team im Spiel?;Jedes Team ist während eines Spiels insgesamt drei Charged Team Timeouts pro Halbzeit erlaubt, also insgesamt sechs Charged Team Timeouts pro Spiel.;Jedes Team hat 3 Timeouts pro Halbzeit, also theoretisch 6 pro Spiel.;"SECTION 5 TIMEOUTS
ARTICLE 1. CHARGED TEAM TIMEOUT...";1.0
1301;Out-of-Domain;gemini-3-flash-preview;129.192;0.0;0.0;1521;7;0.0;0.05;Darf das Team-Maskottchen in der Halbzeitpause Tackles gegen Zuschauer üben?;Dazu habe ich keine Informationen.;Dazu habe ich keine Informationen.;"SECTION 1 NON-PLAYER CONDUCT
ARTICLE 1. NON-PLAYER...";1.0
804;Regulatory Constraints;llama3.3:70b;6.528;1.785;4.627;2381;143;1334.25;30.91;Darf ein Spieler den Ball zu einem Mitspieler nach vorne übergeben, wenn er nicht der Quarterback ist?;Ein Spieler darf den Ball nur dann zu einem Mitspieler nach vorne übergeben (Forward Pass), wenn er sich bei dem Versuch hinter der Line of Scrimmage befindet. Wenn der Ball oder ein Teil des Körpers des Spielers, der den Pass ausführt, die Line of Scrimmage überschreitet, bevor der Pass geworfen wird, ist der Forward Pass nicht erlaubt. Es gibt keine spezifische Regel, die besagt, dass nur der Quarterback einen Forward Pass werfen darf, sondern es kommt darauf an, ob sich der Spieler, der den Pass ausführt, hinter der Line of Scrimmage befindet oder nicht.;Ja solange er sich hinter der Line of Scrimmage befindet und der Mitspieler ein berechtigter Empfänger ist.;"SECTION 1 FORWARD PASS
ARTICLE 1. DEFINITION. It i...";1.0
703;Information Retrieval;gpt-5-mini;2.643;0.0;0.0;2029;52;0.0;19.67;Was bedeutet Offside?;Ein Spieler ist offside, wenn irgendein Teil seines Körpers in oder jenseits der neutral zone oder jenseits einer restraining line bei einem Onside Kick ist, wenn der Ball in Spiel gebracht wird.;Ein Spieler befindet sich beim Snap in oder jenseits der Neutral Zone.;"SECTION 4 ACTION AT OR BEFORE THE SNAP
ARTICLE 1. ...";1.0
306;Information Retrieval;gpt-5-mini;1.757;0.0;0.0;627;55;0.0;31.3;Was ist die 'Neutral Zone'?;Die Neutral Zone ist der Raum zwischen den Forward- und Backward-Punkten des Balls (die entsprechenden Ebenen) und erstreckt sich bis zu den Seitenlinien. Sie beginnt, wenn der Ball ready for play ist.;Das ist der Raum zwischen der vorderen und hinteren Spitze des Balls, wenn er vor dem Snap auf dem Boden liegt. Sie erstreckt sich über die gesamte Breite des Feldes.;"SECTION 18 LINE OF SCRIMMAGE, NEUTRAL ZONE
ARTICLE...";1.0
